"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"B2d","B2d_oneParamDouble","EvoSuite","66.67","NC","2","run-01-15sec","32721"
"B2d","B2d_oneParamFloat","EvoSuite","66.67","NC","2","run-01-15sec","30659"
"B2d","B2d_oneParamInt","EvoSuite","100.00","C","3","run-01-15sec","29162"
"B2d","B2d_oneParamIntNoSolution","EvoSuite","66.67","C","2","run-01-15sec","28681"
"B2d","B2d_quadraticDouble","EvoSuite","80.00","NC","3","run-01-15sec","29462"
"B2d","B2d_quadraticDoubleNoSolution","EvoSuite","80.00","C","1","run-01-15sec","27893"
"B2d","B2d_quadraticFloat","EvoSuite","80.00","NC","3","run-01-15sec","29771"
"B2d","B2d_quadraticFloatNoSolution","EvoSuite","80.00","C","2","run-01-15sec","29067"
"B2d","B2d_quadraticInt","EvoSuite","80.00","NC","5","run-01-15sec","30379"
"B2d","B2d_quadraticIntNoSolution","EvoSuite","80.00","C","2","run-01-15sec","28664"
"B2d","B2d_threeParamsDouble","EvoSuite","83.33","NC","4","run-01-15sec","29774"
"B2d","B2d_threeParamsFloat","EvoSuite","83.33","NC","6","run-01-15sec","31264"
"B2d","B2d_threeParamsInt","EvoSuite","83.33","NC","4","run-01-15sec","30067"
"B2d","B2d_threeParamsIntNoSolution","EvoSuite","83.33","C","4","run-01-15sec","30061"
"B2d","B2d_twoParamsDouble","EvoSuite","80.00","NC","3","run-01-15sec","29062"
"B2d","B2d_twoParamsFloat","EvoSuite","80.00","NC","4","run-01-15sec","29763"
"B2d","B2d_twoParamsInt","EvoSuite","80.00","NC","3","run-01-15sec","29005"
"B2d","B2d_twoParamsIntNoSolution","EvoSuite","80.00","C","3","run-01-15sec","29281"
"B3a","B3a_complex","EvoSuite","88.24","C","4","run-01-15sec","141508"
"B3a","B3a_infinite","EvoSuite","0.00","C","1","run-01-15sec","33835"
"B3a","B3a_infiniteNotOptimalizable","EvoSuite","0.00","C","0","run-01-15sec","375014"
"B3a","B3a_nestedLoop","EvoSuite","100.00","C","4","run-01-15sec","340193"
