Category,Snippet,Tool,Coverage,Status,Size,Run,Duration
B1a,B1a_oneParamBoolean,Pex,100,C,1,run-01-30sec,2441
B1a,B1a_oneParamByte,Pex,100,C,1,run-01-30sec,50
B1a,B1a_oneParamChar,Pex,100,C,1,run-01-30sec,50
B1a,B1a_oneParamDouble,Pex,100,C,1,run-01-30sec,30
B1a,B1a_oneParamFloat,Pex,100,C,1,run-01-30sec,50
B1a,B1a_oneParamInt,Pex,100,C,1,run-01-30sec,30
B1a,B1a_oneParamLong,Pex,100,C,1,run-01-30sec,30
B1a,B1a_oneParamShort,Pex,100,C,1,run-01-30sec,30
B1a,B1a_twoParamBoolean,Pex,100,C,1,run-01-30sec,30
B1a,B1a_twoParamByte,Pex,100,C,1,run-01-30sec,20
B1a,B1a_twoParamChar,Pex,100,C,1,run-01-30sec,40
B1a,B1a_twoParamDouble,Pex,100,C,1,run-01-30sec,20
B1a,B1a_twoParamFloat,Pex,100,C,1,run-01-30sec,20
B1a,B1a_twoParamInt,Pex,100,C,1,run-01-30sec,30
B1a,B1a_twoParamLong,Pex,100,C,1,run-01-30sec,30
B1a,B1a_twoParamShort,Pex,100,C,1,run-01-30sec,30
B1b,B1b_constBoolean,Pex,100,C,1,run-01-30sec,50
B1b,B1b_constByte,Pex,100,C,1,run-01-30sec,30
B1b,B1b_constChar,Pex,100,C,1,run-01-30sec,30
B1b,B1b_constDouble,Pex,100,C,1,run-01-30sec,20
B1b,B1b_constFloat,Pex,100,C,1,run-01-30sec,30
B1b,B1b_constInt,Pex,100,C,1,run-01-30sec,30
B1b,B1b_constLong,Pex,100,C,1,run-01-30sec,50
B1b,B1b_constShort,Pex,100,C,1,run-01-30sec,20
B1c,B1c_add,Pex,100,C,1,run-01-30sec,30
B1c,B1c_addAssignment,Pex,100,C,1,run-01-30sec,20
B1c,B1c_divide,Pex,100,C,3,run-01-30sec,520
B1c,B1c_divideAssignment,Pex,100,C,3,run-01-30sec,60
B1c,B1c_modulo,Pex,100,C,3,run-01-30sec,60
B1c,B1c_moduloAssignment,Pex,100,C,3,run-01-30sec,50
B1c,B1c_multiply,Pex,100,C,1,run-01-30sec,30
B1c,B1c_multiplyAssignment,Pex,100,C,1,run-01-30sec,20
B1c,B1c_postfixMinusMinus,Pex,100,C,1,run-01-30sec,20
B1c,B1c_postfixPlusplus,Pex,100,C,1,run-01-30sec,20
B1c,B1c_substract,Pex,100,C,1,run-01-30sec,30
B1c,B1c_substractAssignment,Pex,100,C,1,run-01-30sec,20
B1c,B1c_unaryMinus,Pex,100,C,1,run-01-30sec,30
B1c,B1c_unaryMinusMinus,Pex,100,C,1,run-01-30sec,20
B1c,B1c_unaryPlus,Pex,100,C,1,run-01-30sec,30
B1c,B1c_unaryPlusPlus,Pex,100,C,1,run-01-30sec,30
B1d,B1d_and,Pex,100,C,2,run-01-30sec,50
B1d,B1d_equal,Pex,100,C,1,run-01-30sec,20
B1d,B1d_greater,Pex,100,C,1,run-01-30sec,30
B1d,B1d_greaterOrEqual,Pex,100,C,1,run-01-30sec,30
B1d,B1d_negate,Pex,100,C,1,run-01-30sec,20
B1d,B1d_notEqual,Pex,100,C,1,run-01-30sec,30
B1d,B1d_or,Pex,100,C,2,run-01-30sec,30
B1d,B1d_smaller,Pex,100,C,1,run-01-30sec,30
B1d,B1d_smallerOrEqual,Pex,100,C,1,run-01-30sec,30
B1e,B1e_and,Pex,100,C,1,run-01-30sec,30
B1e,B1e_andAssignment,Pex,100,C,1,run-01-30sec,40
B1e,B1e_negate,Pex,100,C,1,run-01-30sec,20
B1e,B1e_or,Pex,100,C,1,run-01-30sec,20
B1e,B1e_orAssignment,Pex,100,C,1,run-01-30sec,20
B1e,B1e_shiftLeft,Pex,100,C,1,run-01-30sec,30
B1e,B1e_shiftLeftAssignment,Pex,100,C,1,run-01-30sec,20
B1e,B1e_shiftRight,Pex,100,C,1,run-01-30sec,20
B1e,B1e_shiftRightAssignment,Pex,100,C,1,run-01-30sec,20
B1e,B1e_shiftRightUnsigned,Pex,100,C,1,run-01-30sec,30
B1e,B1e_shiftRightUnsignedAssignment,Pex,100,C,1,run-01-30sec,20
B1e,B1e_xor,Pex,100,C,1,run-01-30sec,30
B1e,B1e_xorAssignment,Pex,100,C,1,run-01-30sec,20
B2a,B2a_oneParamBoolean,Pex,100,C,2,run-01-30sec,50
B2a,B2a_oneParamDouble,Pex,100,C,4,run-01-30sec,120
B2a,B2a_oneParamInt,Pex,100,C,4,run-01-30sec,60
B2a,B2a_twoParamsBoolean,Pex,71.43,C,4,run-01-30sec,50
B2a,B2a_twoParamsDouble,Pex,92,C,7,run-01-30sec,130
B2a,B2a_twoParamsInt,Pex,92,C,7,run-01-30sec,80
B2b,B2b_oneParamBoolean,Pex,100,C,2,run-01-30sec,30
B2b,B2b_oneParamInt,Pex,100,C,2,run-01-30sec,30
B2b,B2b_twoParamsBoolean,Pex,100,C,3,run-01-30sec,30
B2b,B2b_twoParamsInt,Pex,100,C,3,run-01-30sec,50
B2c,B2c_missingBreaks,Pex,100,C,4,run-01-30sec,60
B2c,B2c_simple,Pex,100,C,4,run-01-30sec,60
B2c,B2c_withReturn,Pex,100,C,4,run-01-30sec,50
B2d,B2d_oneParamDouble,Pex,100,C,2,run-01-30sec,60
B2d,B2d_oneParamFloat,Pex,100,C,2,run-01-30sec,60
B2d,B2d_oneParamInt,Pex,100,C,2,run-01-30sec,30
B2d,B2d_oneParamIntNoSolution,Pex,66.67,C,1,run-01-30sec,50
B2d,B2d_quadraticDouble,Pex,100,C,6,run-01-30sec,140
B2d,B2d_quadraticDoubleNoSolution,Pex,50,C,1,run-01-30sec,50
B2d,B2d_quadraticFloat,Pex,100,C,6,run-01-30sec,110
B2d,B2d_quadraticFloatNoSolution,Pex,50,C,2,run-01-30sec,220
B2d,B2d_quadraticInt,Pex,100,C,4,run-01-30sec,180
B2d,B2d_quadraticIntNoSolution,Pex,83.33,C,3,run-01-30sec,100
B2d,B2d_threeParamsDouble,Pex,77.78,C,5,run-01-30sec,410
B2d,B2d_threeParamsFloat,Pex,66.67,C,4,run-01-30sec,370
B2d,B2d_threeParamsInt,Pex,100,C,4,run-01-30sec,130
B2d,B2d_threeParamsIntNoSolution,Pex,100,C,4,run-01-30sec,110
B2d,B2d_twoParamsDouble,Pex,100,C,3,run-01-30sec,30
B2d,B2d_twoParamsFloat,Pex,80,C,2,run-01-30sec,200
B2d,B2d_twoParamsInt,Pex,100,C,3,run-01-30sec,50
B2d,B2d_twoParamsIntNoSolution,Pex,80,C,2,run-01-30sec,50
B3a,B3a_complex,Pex,84.62,C,7,run-01-30sec,1219
B3a,B3a_infinite,Pex,100,C,1,run-01-30sec,80
B3a,B3a_infiniteNotOptimalizable,Pex,80,C,2,run-01-30sec,980
B3a,B3a_nestedLoop,Pex,100,C,5,run-01-30sec,3680
B3a,B3a_nestedLoopWithLabel,Pex,100,C,9,run-01-30sec,4750
B3a,B3a_withConditionAndLimit,Pex,100,C,5,run-01-30sec,110
B3a,B3a_withConditionNoLimit,Pex,100,C,4,run-01-30sec,4657
B3a,B3a_withContinueBreak,Pex,100,C,6,run-01-30sec,1009
B3a,B3a_withLimit,Pex,100,C,3,run-01-30sec,100
B3b,B3b_complex,Pex,84.62,C,7,run-01-30sec,1125
B3b,B3b_infinite,Pex,100,C,1,run-01-30sec,90
B3b,B3b_infiniteNotOptimalizable,Pex,80,C,2,run-01-30sec,910
B3b,B3b_nestedLoop,Pex,100,C,5,run-01-30sec,4891
