Category,Snippet,Tool,Coverage,Status,Size,Run,Duration
B1a,B1a_oneParamBoolean,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamByte,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamChar,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamDouble,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamFloat,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamInt,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamLong,Manual,100.0,C,1,run-01,
B1a,B1a_oneParamShort,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamBoolean,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamByte,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamChar,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamDouble,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamFloat,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamInt,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamLong,Manual,100.0,C,1,run-01,
B1a,B1a_twoParamShort,Manual,100.0,C,1,run-01,
B1b,B1b_constBoolean,Manual,100.0,C,1,run-01,
B1b,B1b_constByte,Manual,100.0,C,1,run-01,
B1b,B1b_constChar,Manual,100.0,C,1,run-01,
B1b,B1b_constDouble,Manual,100.0,C,1,run-01,
B1b,B1b_constFloat,Manual,100.0,C,1,run-01,
B1b,B1b_constInt,Manual,100.0,C,1,run-01,
B1b,B1b_constLong,Manual,100.0,C,1,run-01,
B1b,B1b_constShort,Manual,100.0,C,1,run-01,
B1c,B1c_add,Manual,100.0,C,1,run-01,
B1c,B1c_addAssignment,Manual,100.0,C,1,run-01,
B1c,B1c_divide,Manual,100.0,C,1,run-01,
B1c,B1c_divideAssignment,Manual,100.0,C,1,run-01,
B1c,B1c_modulo,Manual,100.0,C,1,run-01,
B1c,B1c_moduloAssignment,Manual,100.0,C,1,run-01,
B1c,B1c_multiply,Manual,100.0,C,1,run-01,
B1c,B1c_multiplyAssignment,Manual,100.0,C,1,run-01,
B1c,B1c_postfixMinusMinus,Manual,100.0,C,1,run-01,
B1c,B1c_postfixPlusplus,Manual,100.0,C,1,run-01,
B1c,B1c_substract,Manual,100.0,C,1,run-01,
B1c,B1c_substractAssignment,Manual,100.0,C,1,run-01,
B1c,B1c_unaryMinus,Manual,100.0,C,1,run-01,
B1c,B1c_unaryMinusMinus,Manual,100.0,C,1,run-01,
B1c,B1c_unaryPlus,Manual,100.0,C,1,run-01,
B1c,B1c_unaryPlusPlus,Manual,100.0,C,1,run-01,
B1d,B1d_and,Manual,100.0,C,1,run-01,
B1d,B1d_equal,Manual,100.0,C,1,run-01,
B1d,B1d_greater,Manual,100.0,C,1,run-01,
B1d,B1d_greaterOrEqual,Manual,100.0,C,1,run-01,
B1d,B1d_negate,Manual,100.0,C,1,run-01,
B1d,B1d_notEqual,Manual,100.0,C,1,run-01,
B1d,B1d_or,Manual,100.0,C,1,run-01,
B1d,B1d_smaller,Manual,100.0,C,1,run-01,
B1d,B1d_smallerOrEqual,Manual,100.0,C,1,run-01,
B1e,B1e_and,Manual,100.0,C,1,run-01,
B1e,B1e_andAssignment,Manual,100.0,C,1,run-01,
B1e,B1e_negate,Manual,100.0,C,1,run-01,
B1e,B1e_or,Manual,100.0,C,1,run-01,
B1e,B1e_orAssignment,Manual,100.0,C,1,run-01,
B1e,B1e_shiftLeft,Manual,100.0,C,1,run-01,
B1e,B1e_shiftLeftAssignment,Manual,100.0,C,1,run-01,
B1e,B1e_shiftRight,Manual,100.0,C,1,run-01,
B1e,B1e_shiftRightAssignment,Manual,100.0,C,1,run-01,
B1e,B1e_shiftRightUnsigned,Manual,100.0,C,1,run-01,
B1e,B1e_shiftRightUnsignedAssignment,Manual,100.0,C,1,run-01,
B1e,B1e_xor,Manual,100.0,C,1,run-01,
B1e,B1e_xorAssignment,Manual,100.0,C,1,run-01,
B2a,B2a_oneParamBoolean,Manual,100.0,C,2,run-01,
B2a,B2a_oneParamDouble,Manual,100.0,C,4,run-01,
B2a,B2a_oneParamInt,Manual,100.0,C,4,run-01,
B2a,B2a_twoParamsBoolean,Manual,66.66666666666666,C,4,run-01,
B2a,B2a_twoParamsDouble,Manual,66.66666666666666,C,5,run-01,
B2a,B2a_twoParamsInt,Manual,66.66666666666666,C,5,run-01,
B2b,B2b_oneParamBoolean,Manual,100.0,C,2,run-01,
B2b,B2b_oneParamInt,Manual,100.0,C,2,run-01,
B2b,B2b_twoParamsBoolean,Manual,100.0,C,2,run-01,
B2b,B2b_twoParamsInt,Manual,100.0,C,2,run-01,
B2c,B2c_missingBreaks,Manual,100.0,C,2,run-01,
B2c,B2c_simple,Manual,100.0,C,4,run-01,
B2c,B2c_withReturn,Manual,100.0,C,4,run-01,
B2d,B2d_oneParamDouble,Manual,100.0,C,2,run-01,
B2d,B2d_oneParamFloat,Manual,100.0,C,2,run-01,
B2d,B2d_oneParamInt,Manual,100.0,C,2,run-01,
B2d,B2d_oneParamIntNoSolution,Manual,50.0,C,1,run-01,
B2d,B2d_quadraticDouble,Manual,100.0,C,2,run-01,
B2d,B2d_quadraticDoubleNoSolution,Manual,66.0,C,1,run-01,
B2d,B2d_quadraticFloat,Manual,100.0,C,2,run-01,
B2d,B2d_quadraticFloatNoSolution,Manual,66.0,C,1,run-01,
B2d,B2d_quadraticInt,Manual,100.0,C,2,run-01,
B2d,B2d_quadraticIntNoSolution,Manual,66.0,C,1,run-01,
B2d,B2d_threeParamsDouble,Manual,100.0,C,2,run-01,
B2d,B2d_threeParamsFloat,Manual,100.0,C,2,run-01,
B2d,B2d_threeParamsInt,Manual,100.0,C,2,run-01,
B2d,B2d_threeParamsIntNoSolution,Manual,71.0,C,1,run-01,
B2d,B2d_twoParamsDouble,Manual,100.0,C,2,run-01,
B2d,B2d_twoParamsFloat,Manual,100.0,C,2,run-01,
B2d,B2d_twoParamsInt,Manual,100.0,C,2,run-01,
B2d,B2d_twoParamsIntNoSolution,Manual,66.0,C,1,run-01,
B3a,B3a_complex,Manual,78.0,C,3,run-01,
B3a,B3a_infinite,Manual,0.0,C,1,run-01,
B3a,B3a_infiniteNotOptimalizable,Manual,0.0,C,1,run-01,
B3a,B3a_nestedLoop,Manual,100.0,C,1,run-01,
B3a,B3a_nestedLoopWithLabel,Manual,100.0,C,1,run-01,
B3a,B3a_withConditionAndLimit,Manual,100.0,C,1,run-01,
B3a,B3a_withConditionNoLimit,Manual,100.0,C,1,run-01,
B3a,B3a_withContinueBreak,Manual,100.0,C,1,run-01,
B3a,B3a_withLimit,Manual,100.0,C,1,run-01,
B3b,B3b_complex,Manual,75.0,C,3,run-01,
B3b,B3b_infinite,Manual,0.0,C,1,run-01,
B3b,B3b_infiniteNotOptimalizable,Manual,0.0,C,1,run-01,
B3b,B3b_nestedLoop,Manual,100.0,C,1,run-01,
B3b,B3b_nestedLoopWithLabel,Manual,100.0,C,1,run-01,
B3b,B3b_withConditionAndLimit,Manual,100.0,C,1,run-01,
B3b,B3b_withConditionNoLimit,Manual,100.0,C,1,run-01,
B3b,B3b_withContinueBreak,Manual,100.0,C,1,run-01,
B3b,B3b_withLimit,Manual,100.0,C,1,run-01,
B3c,B3c_complex,Manual,78.0,C,3,run-01,
