"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"B2d","B2d_oneParamDouble","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_oneParamFloat","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_oneParamInt","CATG","100.00","C","2","run-01-15sec","1097"
"B2d","B2d_oneParamIntNoSolution","CATG","66.67","C","1","run-01-15sec","571"
"B2d","B2d_quadraticDouble","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_quadraticDoubleNoSolution","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_quadraticFloat","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_quadraticFloatNoSolution","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_quadraticInt","CATG","80.00","NC","1","run-01-15sec","589"
"B2d","B2d_quadraticIntNoSolution","CATG","80.00","C","2","run-01-15sec","1162"
"B2d","B2d_threeParamsDouble","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_threeParamsFloat","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_threeParamsInt","CATG","100.00","C","4","run-01-15sec","2284"
"B2d","B2d_threeParamsIntNoSolution","CATG","83.33","C","3","run-01-15sec","1786"
"B2d","B2d_twoParamsDouble","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_twoParamsFloat","CATG","","N/A","","run-01-15sec",""
"B2d","B2d_twoParamsInt","CATG","100.00","C","3","run-01-15sec","1680"
"B2d","B2d_twoParamsIntNoSolution","CATG","80.00","C","2","run-01-15sec","1086"
"B3a","B3a_complex","CATG","","T/M","","run-01-15sec","15203"
"B3a","B3a_infinite","CATG","","T/M","","run-01-15sec","15202"
"B3a","B3a_infiniteNotOptimalizable","CATG","","T/M","","run-01-15sec","15202"
"B3a","B3a_nestedLoop","CATG","","T/M","","run-01-15sec","15202"
"B3a","B3a_nestedLoopWithLabel","CATG","","T/M","","run-01-15sec","15202"
"B3a","B3a_withConditionAndLimit","CATG","100.00","C","12","run-01-15sec","7049"
"B3a","B3a_withConditionNoLimit","CATG","","T/M","","run-01-15sec","15203"
"B3a","B3a_withContinueBreak","CATG","","T/M","","run-01-15sec","15202"
"B3a","B3a_withLimit","CATG","100.00","C","12","run-01-15sec","6813"
"O1","O1_fullCoverage","CATG","","N/A","","run-01-15sec",""
"O1","O1_guessImpossibleObject","CATG","","N/A","","run-01-15sec",""
"O1","O1_guessImpossibleOperationCount","CATG","","N/A","","run-01-15sec",""
"O1","O1_guessImpossibleOperationCountParams","CATG","","T/M","","run-01-15sec","15202"
"O1","O1_guessImpossibleResult","CATG","","N/A","","run-01-15sec",""
