"Category","Snippet","Tool","Coverage","Status","Size","Run","Duration"
"B1a","B1a_oneParamBoolean","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamByte","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamChar","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamDouble","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamFloat","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamInt","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamLong","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_oneParamShort","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamBoolean","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamByte","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamChar","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamDouble","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamFloat","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamInt","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamLong","IntelliTest","100","C","1","run-01-30sec",""
"B1a","B1a_twoParamShort","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constBoolean","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constByte","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constChar","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constDouble","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constFloat","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constInt","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constLong","IntelliTest","100","C","1","run-01-30sec",""
"B1b","B1b_constShort","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_add","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_addAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_divide","IntelliTest","100","C","3","run-01-30sec",""
"B1c","B1c_divideAssignment","IntelliTest","100","C","3","run-01-30sec",""
"B1c","B1c_modulo","IntelliTest","100","C","3","run-01-30sec",""
"B1c","B1c_moduloAssignment","IntelliTest","100","C","3","run-01-30sec",""
"B1c","B1c_multiply","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_multiplyAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_postfixMinusMinus","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_postfixPlusplus","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_substract","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_substractAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_unaryMinus","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_unaryMinusMinus","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_unaryPlus","IntelliTest","100","C","1","run-01-30sec",""
"B1c","B1c_unaryPlusPlus","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_and","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_equal","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_greater","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_greaterOrEqual","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_negate","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_notEqual","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_or","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_smaller","IntelliTest","100","C","1","run-01-30sec",""
"B1d","B1d_smallerOrEqual","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_and","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_andAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_negate","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_or","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_orAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftLeft","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftLeftAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftRight","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftRightAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftRightUnsigned","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_shiftRightUnsignedAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_xor","IntelliTest","100","C","1","run-01-30sec",""
"B1e","B1e_xorAssignment","IntelliTest","100","C","1","run-01-30sec",""
"B2a","B2a_oneParamBoolean","IntelliTest","100","C","2","run-01-30sec",""
"B2a","B2a_oneParamDouble","IntelliTest","100","C","4","run-01-30sec",""
"B2a","B2a_oneParamInt","IntelliTest","100","C","4","run-01-30sec",""
"B2a","B2a_twoParamsBoolean","IntelliTest","89.47","C","6","run-01-30sec",""
"B2a","B2a_twoParamsDouble","IntelliTest","81.82","C","7","run-01-30sec",""
"B2a","B2a_twoParamsInt","IntelliTest","81.82","C","7","run-01-30sec",""
"B2b","B2b_oneParamBoolean","IntelliTest","100","C","2","run-01-30sec",""
"B2b","B2b_oneParamInt","IntelliTest","100","C","2","run-01-30sec",""
"B2b","B2b_twoParamsBoolean","IntelliTest","100","C","2","run-01-30sec",""
"B2b","B2b_twoParamsInt","IntelliTest","100","C","3","run-01-30sec",""
"B2c","B2c_missingBreaks","IntelliTest","100","C","4","run-01-30sec",""
"B2c","B2c_simple","IntelliTest","100","C","4","run-01-30sec",""
"B2c","B2c_withReturn","IntelliTest","100","C","4","run-01-30sec",""
"B2d","B2d_oneParamDouble","IntelliTest","100","C","2","run-01-30sec",""
"B2d","B2d_oneParamFloat","IntelliTest","100","C","2","run-01-30sec",""
"B2d","B2d_oneParamInt","IntelliTest","100","C","2","run-01-30sec",""
"B2d","B2d_oneParamIntNoSolution","IntelliTest","71.43","C","1","run-01-30sec",""
"B2d","B2d_quadraticDouble","IntelliTest","100","C","6","run-01-30sec",""
"B2d","B2d_quadraticDoubleNoSolution","IntelliTest","77.78","C","1","run-01-30sec",""
"B2d","B2d_quadraticFloat","IntelliTest","100","C","6","run-01-30sec",""
"B2d","B2d_quadraticFloatNoSolution","IntelliTest","77.78","C","2","run-01-30sec",""
"B2d","B2d_quadraticInt","IntelliTest","100","C","4","run-01-30sec",""
"B2d","B2d_quadraticIntNoSolution","IntelliTest","77.78","C","3","run-01-30sec",""
"B2d","B2d_threeParamsDouble","IntelliTest","80","NC","5","run-01-30sec",""
"B2d","B2d_threeParamsFloat","IntelliTest","80","NC","4","run-01-30sec",""
"B2d","B2d_threeParamsInt","IntelliTest","100","C","4","run-01-30sec",""
"B2d","B2d_threeParamsIntNoSolution","IntelliTest","100","C","4","run-01-30sec",""
"B2d","B2d_twoParamsDouble","IntelliTest","100","C","3","run-01-30sec",""
"B2d","B2d_twoParamsFloat","IntelliTest","77.78","NC","2","run-01-30sec",""
"B2d","B2d_twoParamsInt","IntelliTest","100","C","3","run-01-30sec",""
"B2d","B2d_twoParamsIntNoSolution","IntelliTest","77.78","C","2","run-01-30sec",""
"B3a","B3a_complex","IntelliTest","84.62","C","7","run-01-30sec",""
"B3a","B3a_infinite","IntelliTest","0","C","1","run-01-30sec",""
"B3a","B3a_infiniteNotOptimalizable","IntelliTest","0","C","2","run-01-30sec",""
"B3a","B3a_nestedLoop","IntelliTest","100","C","5","run-01-30sec",""
"B3a","B3a_nestedLoopWithLabel","IntelliTest","100","C","7","run-01-30sec",""
"B3a","B3a_withConditionAndLimit","IntelliTest","100","C","5","run-01-30sec",""
"B3a","B3a_withConditionNoLimit","IntelliTest","100","C","4","run-01-30sec",""
"B3a","B3a_withContinueBreak","IntelliTest","100","C","6","run-01-30sec",""
"B3a","B3a_withLimit","IntelliTest","100","C","3","run-01-30sec",""
"B3b","B3b_complex","IntelliTest","84","C","7","run-01-30sec",""
"B3b","B3b_infinite","IntelliTest","0","C","1","run-01-30sec",""
"B3b","B3b_infiniteNotOptimalizable","IntelliTest","0","C","2","run-01-30sec",""
"B3b","B3b_nestedLoop","IntelliTest","100","C","5","run-01-30sec",""
"B3b","B3b_nestedLoopWithLabel","IntelliTest","100","C","8","run-01-30sec",""
"B3b","B3b_withConditionAndLimit","IntelliTest","100","C","5","run-01-30sec",""
"B3b","B3b_withConditionNoLimit","IntelliTest","100","C","4","run-01-30sec",""
"B3b","B3b_withContinueBreak","IntelliTest","100","C","6","run-01-30sec",""
"B3b","B3b_withLimit","IntelliTest","100","C","3","run-01-30sec",""
"B3c","B3c_complex","IntelliTest","84.62","C","6","run-01-30sec",""
"B3c","B3c_infinite","IntelliTest","0","C","1","run-01-30sec",""
"B3c","B3c_infiniteNotOptimalizable","IntelliTest","0","C","2","run-01-30sec",""
"B3c","B3c_nestedLoop","IntelliTest","100","C","5","run-01-30sec",""
"B3c","B3c_nestedLoopWithLabel","IntelliTest","100","C","9","run-01-30sec",""
"B3c","B3c_withConditionAndLimit","IntelliTest","100","C","4","run-01-30sec",""
