Category,Snippet,Tool,Coverage,Status,Size,Run,Duration
B1a,B1a_oneParamBoolean,SnippetInputChecker,100.00,C,1,manual,141
B1a,B1a_oneParamByte,SnippetInputChecker,100.00,C,1,manual,109
B1a,B1a_oneParamChar,SnippetInputChecker,100.00,C,1,manual,187
B1a,B1a_oneParamDouble,SnippetInputChecker,100.00,C,1,manual,156
B1a,B1a_oneParamFloat,SnippetInputChecker,100.00,C,1,manual,140
B1a,B1a_oneParamInt,SnippetInputChecker,100.00,C,1,manual,171
B1a,B1a_oneParamLong,SnippetInputChecker,100.00,C,1,manual,141
B1a,B1a_oneParamShort,SnippetInputChecker,100.00,C,1,manual,203
B1a,B1a_twoParamBoolean,SnippetInputChecker,100.00,C,1,manual,188
B1a,B1a_twoParamByte,SnippetInputChecker,100.00,C,1,manual,219
B1a,B1a_twoParamChar,SnippetInputChecker,100.00,C,1,manual,235
B1a,B1a_twoParamDouble,SnippetInputChecker,100.00,C,1,manual,219
B1a,B1a_twoParamFloat,SnippetInputChecker,100.00,C,1,manual,172
B1a,B1a_twoParamInt,SnippetInputChecker,100.00,C,1,manual,203
B1a,B1a_twoParamLong,SnippetInputChecker,100.00,C,1,manual,281
B1a,B1a_twoParamShort,SnippetInputChecker,100.00,C,1,manual,250
B1b,B1b_constBoolean,SnippetInputChecker,100.00,C,1,manual,188
B1b,B1b_constByte,SnippetInputChecker,100.00,C,1,manual,156
B1b,B1b_constChar,SnippetInputChecker,100.00,C,1,manual,203
B1b,B1b_constDouble,SnippetInputChecker,100.00,C,1,manual,188
B1b,B1b_constFloat,SnippetInputChecker,100.00,C,1,manual,203
B1b,B1b_constInt,SnippetInputChecker,100.00,C,1,manual,312
B1b,B1b_constLong,SnippetInputChecker,100.00,C,1,manual,188
B1b,B1b_constShort,SnippetInputChecker,100.00,C,1,manual,219
B1c,B1c_add,SnippetInputChecker,100.00,C,1,manual,188
B1c,B1c_addAssignment,SnippetInputChecker,100.00,C,1,manual,171
B1c,B1c_divide,SnippetInputChecker,100.00,C,1,manual,172
B1c,B1c_divideAssignment,SnippetInputChecker,100.00,C,1,manual,187
B1c,B1c_modulo,SnippetInputChecker,100.00,C,1,manual,266
B1c,B1c_moduloAssignment,SnippetInputChecker,100.00,C,1,manual,203
B1c,B1c_multiply,SnippetInputChecker,100.00,C,1,manual,281
B1c,B1c_multiplyAssignment,SnippetInputChecker,100.00,C,1,manual,219
B1c,B1c_postfixMinusMinus,SnippetInputChecker,100.00,C,1,manual,219
B1c,B1c_postfixPlusplus,SnippetInputChecker,100.00,C,1,manual,203
B1c,B1c_substract,SnippetInputChecker,100.00,C,1,manual,218
B1c,B1c_substractAssignment,SnippetInputChecker,100.00,C,1,manual,203
B1c,B1c_unaryMinus,SnippetInputChecker,100.00,C,1,manual,250
